DTree,LASSO
16.3187353079,16.2745702306
6.02905070119,6.70391613528
14.215359116,14.0464544912
16.0948413897,16.4643364295
9.83461290323,10.0300508299
11.4010909091,11.0069591776
14.6812494382,14.5124787799
10.7353,10.5472263085
15.0666611707,15.0959985589
6.60454434994,7.47488863067
13.9406589428,13.4848902247
8.75874724903,9.33837524941
14.0953248639,13.638648667
19.5742221058,19.8542547305
10.920659854,10.7554579168
6.5802997416,7.19061768315
9.60546875,9.66704795216
18.8197895903,18.7121700352
13.6168648649,13.2202675187
15.0666611707,15.0959274733
12.237408867,11.7776307411
18.070952381,18.0677312934
14.5123295455,14.1280557023
12.6499785342,12.1312631973
14.2411324786,13.7769053203
16.296562212,15.862651393
6.03,6.76405079612
23.2669896194,23.1303567901
19.339301676,19.1427626508
8.75874724903,9.53872539508
21.576184779,21.7339642938
21.044806867,21.3188881016
11.6506707317,11.290511607
13.4058056581,13.2559570807
13.7251515152,13.3857832073
9.81551724138,9.99957439157
12.997879902,12.6609235588
17.8571826625,17.5087042997
9.85740916713,9.97593194916
16.8592801904,16.748581348
10.7353,10.6511387022
12.2754512635,11.7065389694
13.4058056581,12.9491241457
19.5742221058,19.5319787254
14.8505868545,14.45599564
18.070952381,17.7868925591
16.296562212,16.0065008126
15.6399180938,15.4853652933
8.75874724903,9.24637115437
8.75874724903,9.4419599376
13.5920811946,13.2146838987
18.070952381,17.9145517897
20.8548,21.2659359444
12.997879902,12.4576927173
13.5920811946,13.2613482671
8.75874724903,9.30584909183
23.5666048237,24.4413742376
23.7608294931,23.8465495719
6.5802997416,7.31764004878
8.7669502175,9.25624953065
6.01311504425,6.70334196418
13.123597101,12.7200290877
15.3996629213,15.2293403365
12.2642845327,11.8294179371
12.997879902,12.553397111
7.85364427077,8.63922371195
19.1738683128,19.2808359358
14.0953248639,13.9326780384
11.6506707317,10.9815836559
20.3085073171,20.6841117268
15.0337389912,14.65531612
9.48574468085,9.94835393737
7.89599877638,8.53565468692
12.2642845327,11.7932402926
7.49459521095,7.84887063936
12.4960091743,12.4770694777
12.237408867,11.8175681441
9.21909090909,9.84240978737
14.0953248639,13.8266589091
16.834178744,16.8566544751
7.89599877638,8.88133907089
13.9406589428,13.374869376
12.997879902,12.7719724599
12.8651966874,12.2598609984
17.1573781903,17.2479543857
10.99,11.55018286
12.3739170507,11.8786042286
15.0666611707,15.2296701427
6.02905070119,6.65710851931
16.0948413897,16.4799254438
19.339301676,19.4639774184
15.2982022472,15.2479282693
13.5920811946,13.162098452
7.89599877638,8.79332951408
15.2120673077,15.2712062422
15.8682712579,15.781746459
15.6838259833,15.5480802212
14.8919105515,14.6872612433
17.6303276756,17.273367299
10.7353,10.7274879827
16.8592801904,16.4812482668
6.60454434994,7.30278072146
18.070952381,18.1647352425
16.8592801904,16.4969917931
10.307,10.2871114046
13.7251515152,13.3230242619
15.0666611707,14.8540516514
6.02905070119,6.72140534979
7.85364427077,8.32142359015
8.55684210526,9.05271587624
15.2558308157,15.1912408311
12.523449406,12.1204110315
15.8682712579,15.92633003
15.3381707317,15.5540846488
9.83461290323,9.75034344781
14.4751789264,14.0409638774
11.6506707317,11.3359097423
13.7441254181,13.192519174
8.71560445682,9.09256108542
6.5802997416,7.22920507229
7.85364427077,8.3732851806
18.070952381,17.8268819189
12.3603284541,11.9732661558
13.4058056581,13.103995213
14.3544591195,14.04728532
14.6839033457,14.7361123061
11.6506707317,11.2484687315
14.5123295455,14.61240772
15.4663857408,15.3140672464
16.5395757576,16.4176758618
20.8603727506,21.3319471816
10.8335189524,10.9780866253
18.070952381,18.1066303803
7.46554695934,7.90749757364
13.9496914286,13.8134993641
11.6506707317,11.0287323442
8.75874724903,9.43759633698
15.89,15.9913159316
6.01311504425,6.55954761715
19.5742221058,19.5168193842
14.9291666667,15.2338626492
